Police Station,Year,Type,Date,Time,Place,Latitude,Longitude,Hour,Time_Category,Is_Night,Crime_Category,Is_Violent
Banashankari,2015.0,Murder,2015-07-01 00:00:00.000,06:00:00,"No.A8
304 Elita Apartment, JP
Nagar 7th Phase,
Bengaluru City,
Karnaka -560078",12.9076508,77.5951967,6.0,Morning,0,Violent,1
Banashankari,2015.0,Murder,2015-01-26 00:00:00.000,04:10:00,"Newly Construction
Building of Kirnakumar,
Near Adigas Hotel, BG
Road, Panduranganagar,
Bengaluru City,
Karnaka-560076",12.9076508,77.5951967,4.0,Night,1,Violent,1
Banashankari,2015.0,Murder,2015-08-11 00:00:00.000,08:00:00,"Infront of House no 110,
6th Cross KR Layout
jpnagar 6th phase,
Bengaluru City, Karnaka",12.9030543,77.5813948,8.0,Morning,0,Violent,1
Banashankari,2016.0,Murder,2016-05-16 00:00:00.000,07:30:00,"Newly Construction
buildingNext to
Siddlingeshwara, 17th cross
jpnagar 6th phase,
Bengaluru City,
Karnaka-560078",12.9036647,77.5785439,7.0,Morning,0,Violent,1
Banashankari,2016.0,Murder,2016-06-09 00:00:00.000,09:15:00,"House No.19 Near
Jaraganahalli Park, Jp
nagara 6th Phase,
Bengaluru City,
Karnaka-560078",12.9004589,77.5684636,9.0,Morning,0,Violent,1
Banashankari,2016.0,Murder,2016-11-09 00:00:00.000,02:50:00,"Lakshmi, 78 old no 32
1st floor 14th A cross, Vivers
colony Sarakki JPnagar 1st
phase,
Bengaluru City,
Karnaka -560078",12.909427,77.5706543,2.0,Night,1,Violent,1
Banashankari,2016.0,Murder,2016-11-21 00:00:00.000,02:20:00,"House No-126/2, 4th
Cross, Sarakki Garden,, JP NAGAR 6th Phase, karnaka",12.9039655,77.5804308,2.0,Night,1,Violent,1
Banashankari,2018.0,Murder,2018-01-01 00:00:00.000,02:00:00,"ON FOOTPH, IN
FRONT OF BALAJI WINES
STORE,, 15TH CROSS, J
P NAGAR, Bengaluru City,
Karnaka",12.9039653,77.5738647,2.0,Night,1,Violent,1
Banashankari,2018.0,Murder,2018-01-01 00:00:00.000,02:15:00,"In Front of Balaji Rise
Traders, 7th Cross,,
Shakambari Nagar,
J.P.Nagar 1st Phase,
Bengaluru City,
Karnaka-560078",12.9124543,77.5737283,2.0,Night,1,Violent,1
Banashankari,2019.0,Murder,2019-08-25 00:00:00.000,01:30:00,"IN FRONT OF
PRUDENCE AUTO
GARRAGE, 19TH MAIN, J
P NAGAR 2ND PHASE,
Bengaluru City,",12.9108342,77.5866704,1.0,Night,1,Violent,1
Banashankari,2019.0,Murder,2019-08-25 00:00:00.000,02:30:00,"IN FRONT OF NO. 822, 24TH MAIN, J P NAGAR 2ND PHASE. BANGALORE-78",12.9071236,77.583816,2.0,Night,1,Violent,1
Banashankari,2016.0,Murder,2016-03-25 00:00:00.000,21:40:00,"No-3335, Govt School
opp,, Cauveri nagar,
Banashankari 2nd stage,
Bengaluru City,",,,21.0,Night,1,Violent,1
Banashankari,2016.0,Murder,2016-04-26 00:00:00.000,08:15:00,"No. 46, Sapalamma
Temple Road,,
Kadirenahalli, Banashankari
2nd Stage, Bengaluru City,
Karnaka",,,8.0,Morning,0,Violent,1
Banashankari,2016.0,Murder,2016-08-05 00:00:00.000,06:15:00,"#NA, Bhavani Nagara , Bsk 2nd Stage, Bengaluru",,,6.0,Morning,0,Violent,1
Banashankari,2016.0,Murder,2016-05-23 00:00:00.000,00:45:00,"Front of Guljar House,
Banday Hall, 3rd Cross,,
Anand Timber Road,
Kaveeri Nagagr, BSk 2nd
Stage, Bengaluru City,",,,0.0,Night,1,Violent,1
Banashankari,2016.0,Murder,2016-02-12 00:00:00.000,22:30:00,"Tolet Back Side 9th main
Yarbnagar, Banshnakari
2nd Stage, Bengaluru City,",12.91986,77.56931,22.0,Night,1,Violent,1
Banashankari,2017.0,Murder,2017-09-02 00:00:00.000,19:00:00,"No.419 9th Main Road
24th Cross, BSK 2nd Stage,
Bengaluru City,",,,19.0,Evening,0,Violent,1
Banashankari,2017.0,Murder,2017-11-27 00:00:00.000,11:00:00,"#7/1,1st main, 7th cross,
Padmanabha nagara,
Bengaluru City,",12.958864,77.638363,11.0,Morning,0,Violent,1
Banashankari,2015.0,Murder,2015-07-23 00:00:00.000,16:00:00,No 223 K.M.Colony Jayanaagar 1st Block Bengaluru.,12.946595,77.59197,16.0,Afternoon,0,Violent,1
Banashankari,2015.0,Murder,2015-12-23 00:00:00.000,16:30:00,Near Papanna Hotel Daynanda nagar slum Jayanagar 1st Block Bengaluru.,12.945264,77.59271,16.0,Afternoon,0,Violent,1
Banashankari,2016.0,Murder,2016-10-04 00:00:00.000,22:00:00,Near Arif office 2nd Cross Arekempanahalli Jayanagar 1st Block Bengaluru.,12.946042,77.593699,22.0,Night,1,Violent,1
Banashankari,2016.0,Murder,2016-05-16 00:00:00.000,21:30:00,"No 4/3, 2nd Cross Arekempanahalli Jayanagar 1st Block Bengaluru.",12.946042,77.593699,21.0,Night,1,Violent,1
Banashankari,2019.0,Murder,2019-06-22 00:00:00.000,02:00:00,Near Babulal Tea Hotel Dayananda Nagar 1st Block Jayanagar Bengaluru.,12.944408,77.593165,2.0,Night,1,Violent,1
Banashankari,2015.0,Murder,2015-05-02 00:00:00.000,06:30:00,EMPTY SITE CAVERY HOTEL BIHIND CHUNCHAGHTA MAIN ROAD BANGLORE,12.89050892,77.57361002,6.0,Morning,0,Violent,1
Banashankari,2015.0,Murder,2015-09-02 00:00:00.000,15:00:00,NO 25.10 TH CROSS CHUNCHAGHTA MAIN ROAD BIRESHWRA NAGAR BANGLORE,12.90976685,77.55679873,15.0,Afternoon,0,Violent,1
Banashankari,2015.0,Murder,2015-03-15 00:00:00.000,16:45:00,NO 525. SAMUDAYABHAVANA ROAD VASANTHPURA BANGLORE,12.901082,77.54753806,16.0,Afternoon,0,Violent,1
Banashankari,2015.0,Murder,2015-03-26 00:00:00.000,21:45:00,NO NIL. C/R NAGAESH HOUSE VADDARAPALLY JAMBUSAVARI DINNE JP NAGARA BANGLORE,12.86854765,77.5801126,21.0,Night,1,Violent,1
Banashankari,2015.0,Murder,2015-05-20 00:00:00.000,09:45:00,NO 69. 6TH CROSS 2ND MAIN MANJUNH NAGARA 2ND MAIN BANGLORE,12.90958449,77.55159728,9.0,Morning,0,Violent,1
Banashankari,2016.0,Murder,2016-01-01 00:00:00.000,nan,NO 03.3RD FLOOR 1ST MAIN SREYUS COLONY JP NAGARA 7TH PHASE BANGLORE -56,12.88328789,77.58130555,,Unknown,0,Violent,1
Banashankari,2016.0,Murder,2016-01-09 00:00:00.000,nan,KABAB MAHALA KOTTANURU DINNE MAIN ROAD JP NAGARA 7TH CROSS BANGLORE,12.8776868,77.58071703,,Unknown,0,Violent,1
Banashankari,2016.0,Murder,2016-04-10 00:00:00.000,nan,NO 68. NAIONAL ENGLISH SCHOOL BIRESHWARANAGARA BANGLORE,12.8887116,77.57377343,,Unknown,0,Violent,1
Banashankari,2016.0,Murder,2016-08-12 00:00:00.000,nan,NO 17. BENAKA 15 A CROSS AGS LAYOUT BANGLORE CITY,12.89537161,77.55032355,,Unknown,0,Violent,1
Banashankari,2016.0,Murder,2016-08-16 00:00:00.000,nan,NO 08.C/O SHIVARAMA NEAR GOVT SCHOOL CHUNCHANGHTA KONANAKUNTE POST BANGLORE-62,12.90932828,77.5437415,,Unknown,0,Violent,1
Banashankari,2016.0,Murder,2016-10-23 00:00:00.000,nan,SHIVA SHAKTI RICRION FRONT NEAR VINAYAKA THETRA HARINAGARA BANGLORE,12.87932828,77.5737415,,Unknown,0,Violent,1
Banashankari,2016.0,Murder,2016-11-16 00:00:00.000,nan,"NO NIL, KUMARA RENT HOUSE, SMASANA ROAD BURIYAL GROUND ROAD CHUNCHAGHTA MAIN ROAD BANGLORE",12.90714279,77.53486998,,Unknown,0,Violent,1
Banashankari,2017.0,Murder,2017-02-26 00:00:00.000,20:10:00,NO 30.1`ST MAIN 1ST CROSS KAKIYANAGARA NAIDU LAYOUT CHIKKALSANDRA BANGLORE CITY -61,12.90245473,77.54181407,20.0,Evening,1,Violent,1
Banashankari,2017.0,Murder,2017-12-03 00:00:00.000,21:00:00,NO NEAR LABOUR SHED GUBLALA GE KANAKA PURA MIAN ROAD DODDAKALASANDRA BANGLORE -62,12.88563257,77.5482591,21.0,Night,1,Violent,1
Banashankari,2017.0,Murder,2017-04-26 00:00:00.000,23:50:00,NO ITTUMADU MAIN ROAD AGS LAYOUT BANGLORE 61,12.88948381,77.56232091,23.0,Night,1,Violent,1
Banashankari,2017.0,Murder,2017-10-13 00:00:00.000,03:00:00,"NO SEURITY GURD HOUSE FRONT, NEAR MARUTHI LAYOUT PARK 80FEET ROAD MARUTHI LAYOT VASANTHPURA BANGORE 61",12.90108207,77.54753806,3.0,Night,1,Violent,1
Banashankari,2018.0,Murder,2018-12-01 00:00:00.000,22:30:00,NO 36. 1ST MAIN 3RD CROSS JAYARAJA BI;DING KENGERI MAIN ROAD HEMAVHI LAYOUT BANGLORE 61,12.9057223,77.53558126,22.0,Night,1,Violent,1
Banashankari,2018.0,Murder,2018-10-06 00:00:00.000,03:00:00,NO NEAR CANARA BANK KONANAKUNTE CROSS BANGLORE,12.88289563,77.56647782,3.0,Night,1,Violent,1
Banashankari,2018.0,Murder,2018-09-28 00:00:00.000,10:30:00,EMPTY SITE BIHIND ISCON TEMPLE YADALAMANAGARA BANGLORE 61,12.8967726,77.5445644,10.0,Morning,0,Violent,1
Banashankari,2019.0,Murder,2019-08-05 00:00:00.000,13:00:00,NO 637. JI RAJESHAWARI NILAYA 2ND FLOOR 7 C CROSS SINDICE BANK ROAD VALLABHANAGARA DOADDAKALSANADRA BANGLORE,12.91082367,77.54398174,13.0,Afternoon,0,Violent,1
Banashankari,2019.0,Murder,2019-07-14 00:00:00.000,21:45:00,"PRHANA SCHOOL , NEAR TIRUMALA MESS & BEKARI CHIKKLASANDRA BANGLORE",12.913512,77.554144,21.0,Night,1,Violent,1
Banashankari,2019.0,Murder,2019-05-10 00:00:00.000,17:30:00,NO 20/4. 4TH CROSS FLOWER DECORION GOWDANA AREHALLI BANGLORE,12.91084893,77.53745649,17.0,Evening,0,Violent,1
Banashankari,2015.0,Murder,2015-02-22 00:00:00.000,15:00:00,"BDA Layout, BSK 6th Ste, Lingadinahalli, Bengaluru.",12.87583,77.511157,15.0,Afternoon,0,Violent,1
Banashankari,2015.0,Murder,2015-03-17 00:00:00.000,05:00:00,"Bhuvaneshvari Nagra, Gubbalal, Bangalore.",12.894725,77.542178,5.0,Morning,1,Violent,1
Banashankari,2015.0,Murder,2015-03-29 00:00:00.000,16:00:00,"No.26/19, 3rd Cross, 2nd Maim Tippasandra, Bangalore.",12.874853,77.554205,16.0,Afternoon,0,Violent,1
Banashankari,2016.0,Murder,2016-01-14 00:00:00.000,14:45:00,"No.1014, 4th ""T"" Block, Manovarte kaval, Banashankari 6th Stage, Bangalore.",12.860873,77.520947,14.0,Afternoon,0,Violent,1
Banashankari,2017.0,Murder,2017-01-17 00:00:00.000,12:30:00,"New Construction Eligant Apt, Pipeline Road, Vrushabhavi Nagar, BSK 6th Stage, Bangalore.",12.864755,77.528047,12.0,Afternoon,0,Violent,1
Banashankari,2017.0,Murder,2017-04-13 00:00:00.000,12:15:00,"No.28/7, Govindappa Building, 2nd Floor, Library Road, 3rd Cross, Talaghtapura, Bangalore.",12.871198,77.536856,12.0,Afternoon,0,Violent,1
Banashankari,2017.0,Murder,2017-04-24 00:00:00.000,10:00:00,"No.01, 24th Main, 4th Block, BDA Layout, Lal Bahaddura Shastrinagar, Anjanapura Post, Bangalore.",12.853954,77.553705,10.0,Morning,0,Violent,1
Banashankari,2017.0,Murder,2017-05-08 00:00:00.000,04:00:00,"BDA Road, Avalahalli, 2nd Block, 9th Phase, JP Nagar, Bangalore.",12.870574,77.571346,4.0,Night,1,Violent,1
Banashankari,2017.0,Murder,2017-08-17 00:00:00.000,05:00:00,"Chandana Aunty House, Back Side of Asian School, Balagi Lay out, Thalaghtapura, Bengaluru City",12879498.0,77.542792,5.0,Morning,1,Violent,1
Banashankari,2017.0,Murder,2017-08-22 00:00:00.000,04:00:00,"100 Feet Road, Front of Bairaveshavar Tendors Reshmenagar, GanigaraPlaya Bangalore.",12.87548,77.535128,4.0,Night,1,Violent,1
Banashankari,2018.0,Murder,2018-01-17 00:00:00.000,22:00:00,"80 Feet Road, BDA Layout, Lalabahaddur Shastri Nagar, Anjanapura post, Bangalore.",12.870129,77.556345,22.0,Night,1,Violent,1
Banashankari,2018.0,Murder,2018-07-14 00:00:00.000,21:00:00,"Site No.72, Astalaxmi Layout, Hosahalli Bangalore.",12.878193,77.535515,21.0,Night,1,Violent,1
Banashankari,2018.0,Murder,2018-09-19 00:00:00.000,18:00:00,"Site No.72, Astalaxmi Layout, Hosahalli Bangalore.",12.848726,77.572816,18.0,Evening,0,Violent,1
Banashankari,2018.0,Murder,2018-10-16 00:00:00.000,19:00:00,"Tejas Cement Godown, Gurusiddeshvara Theer, Avalahalli, Anjanapura Post, Bangalore.",12.872393,77.557753,19.0,Evening,0,Violent,1
Banashankari,2018.0,Murder,2018-10-27 00:00:00.000,10:10:00,"BDA Quarters, Avalahalli, Anajanapura Post, Bangalore.",12.871255,77.56033,10.0,Morning,0,Violent,1
Banashankari,2018.0,Murder,2018-03-11 00:00:00.000,20:00:00,"80 Feet Road, Near KSIT College, Raghuvanahalli, Bengaluru City",12.879671,77.54543,20.0,Evening,1,Violent,1
Banashankari,2019.0,Murder,2019-08-19 00:00:00.000,14:00:00,"Near campound, 80 feet road, 3 th block , Bangalore.",12.859739,77.562719,14.0,Afternoon,0,Violent,1
Banashankari,2019.0,Murder,2019-10-14 00:00:00.000,01:00:00,"No-491, 13th main, G block, Anjanapura, B.D.A Layout, Bangalore.",12.862041,77.563487,1.0,Night,1,Violent,1
Banashankari,2019.0,Murder,2019-11-17 00:00:00.000,20:30:00,"Vinayaka Nagara, 2 th Main, Gubbalala, Subramanyapura, Bangalore.",12.893051,77.543007,20.0,Evening,1,Violent,1
Banashankari,2017.0,Murder,2017-01-13 00:00:00.000,nan,"Harinagar cross,kothanur main road,konanakunte",12.879223,77.567169,,Unknown,0,Violent,1
Banashankari,2017.0,Murder,2017-04-03 00:00:00.000,01:30:00,"Telephone exchange road,new bank calony",12.882152,77.565325,1.0,Night,1,Violent,1
Banashankari,2017.0,Murder,2017-07-29 00:00:00.000,08:45:00,"Muneshwara layout ,wavers calony ,bangalore",12.84488,77.583729,8.0,Morning,0,Violent,1
Banashankari,2017.0,Murder,2017-01-11 00:00:00.000,15:00:00,"6th main ganaphipura,chunchaghta main road bangalore",12.890277,77.57144,15.0,Afternoon,0,Violent,1
Banashankari,2017.0,Murder,2017-11-18 00:00:00.000,00:00:00,"Beside of harishachandra home near anad medical store ,chunchaghta main road ,bangalore",12.885583,77.57054,0.0,Night,1,Violent,1
Banashankari,2018.0,Murder,2018-07-09 00:00:00.000,04:30:00,"No 3,3rd cross opp RR bar and resturent ,chunchaghta main road beereshwara nagar ,bangalore-62",12.889932,77.57465,4.0,Night,1,Violent,1
Banashankari,2018.0,Murder,2018-01-10 00:00:00.000,00:00:00,"Security guard room,sushila residency 4th main ,1st cross royal county ,jp nagar 8th phase bangalore-83",12.861345,77.579767,0.0,Night,1,Violent,1
Banashankari,2018.0,Murder,2018-11-21 00:00:00.000,23:50:00,"Infront of Chaitra bar,7th cross weavers calony bangalore-",12.845887,77.583885,23.0,Night,1,Violent,1
Banashankari,2019.0,Murder,2019-06-13 00:00:00.000,16:10:00,"Near kothanur lake ,kteramma layout ,kothanur village bangalore-",12.873733,77.579546,16.0,Afternoon,0,Violent,1
Banashankari,2017.0,Murder,2017-04-30 00:00:00.000,11:30:00,"Infront Of KVM Industries,St.Anthony Industrial, Jaraganahalli,JP Nagar, Bengaluru",,,11.0,Morning,0,Violent,1
Banashankari,2017.0,Murder,2017-07-05 00:00:00.000,16:00:00,"SITE NO 165/B 5TH MAIN CLASSIC ARCHID LAY OUT, J P NAGARA, Bengaluru",12.875176,77.57889,16.0,Afternoon,0,Violent,1
Banashankari,2017.0,Murder,2017-08-27 00:00:00.000,16:15:00,"No 96, Govindappa Building, Annayappa Garden, Jaraganahalli J P Nagara 6th
Phase, Bengaluru City",12.898898,77.576405,16.0,Afternoon,0,Violent,1
Banashankari,2017.0,Murder,2017-08-10 00:00:00.000,08:00:00,"Narayana Swamy's Thotada Mane,, Shamanna Garden JP Nagara 5th Phase,
Bengaluru City,",12.906331,77.59179,8.0,Morning,0,Violent,1
Banashankari,2017.0,Murder,2017-11-25 00:00:00.000,04:00:00,"BBMP Office Terrace, Ward NO 187, Doresanipalya, Bengaluru City",12.90903,77.58764,4.0,Night,1,Violent,1
Banashankari,2018.0,Murder,2018-02-05 00:00:00.000,17:30:00,"No 8/1 20th Main 19th Cross, Rajagopalareddy Layout J P Nagar 5th Phase,
Bengaluru City,",12.906448,77.587569,17.0,Evening,0,Violent,1
Banashankari,2019.0,Murder,2019-05-08 00:00:00.000,18:45:00,"ELITA PROMANADE APARTMENT, JP NAGAR 7TH PHASE, Bengaluru City",12.89643,77.578607,18.0,Evening,0,Violent,1
Banashankari,2019.0,Murder,2019-11-26 00:00:00.000,10:30:00,"NO-41, 1ST FLOOR, MAKKA MASZID ROAD, 4TH MAIN, VINAYAKA NAGARA,
JP NAGARA 5TH PHASE, Bengaluru City",12.901612,77.586583,10.0,Morning,0,Violent,1
Banashankari,,Murder,2015-02-01 00:00:00.000,21:00,"Honganoor Village, Chennapna Tq, Ramanagar Dist(Missing From 847, 51st Main, 25th Cross, K.S.Layout, Bvangalore)",12.8966729945995,77.5607513795297,21.0,Night,1,Violent,1
Banashankari,,Murder,2015-04-30 00:00:00.000,6:00,"No 27, 2nd Main, Knakapura Main Road, Ramakrishnanagar, Bangalore",12.9050964485764,77.571337000055,6.0,Morning,0,Violent,1
Banashankari,,Murder,2015-11-06 00:00:00.000,5:00,"Near Metro Stion, Sarakki Signal, J.P.Nagar, Bangalore",12.9076945341477,77.5719852228203,5.0,Morning,1,Violent,1
Banashankari,,Murder,2016-11-01 00:00:00.000,11:00,"No 3276, 1st Floor, 5th Cross, 8th Main, Near Om Shakthi Temple, Chandranagar, Bangalore",12.9008927627643,77.5698813716385,11.0,Morning,0,Violent,1
Banashankari,,Murder,2016-07-05 00:00:00.000,13:45,"12th Cross, K.S.Layout, Chandranagar, Bangalore",12.9023385605328,77.5653252772123,13.0,Afternoon,0,Violent,1
Banashankari,,Murder,2016-07-31 00:00:00.000,21:30,"Hari Colony, Banashankari, Bangalore",12.9144905944493,77.5721064816148,21.0,Night,1,Violent,1
Banashankari,,Murder,2017-04-26 00:00:00.000,15:00,"No 27, 1st Floor, 11th Cross, Bendrenagar, Bangalore",12.9105468600267,77.5607455338601,15.0,Afternoon,0,Violent,1
Banashankari,,Murder,2017-08-27 00:00:00.000,15:00,"Old Alfa Factory Kashinagar, Bangalore",12.8993985560933,77.572584947246,15.0,Afternoon,0,Violent,1
Banashankari,,Murder,2018-05-02 00:00:00.000,18:30,"Pooja Apts, 2nd Main, Najnappa Layout, Yelachenahalli, Bangalore",12.902333328087,77.56892819667,18.0,Evening,0,Violent,1
Banashankari,,Murder,2018-04-30 00:00:00.000,16:30,"No 587, 8th Cross, Praghipura, Bangalore",12.9143691111693,77.5733106370572,16.0,Afternoon,0,Violent,1
Banashankari,,Murder,2018-08-25 00:00:00.000,1:30,"Near RK Bar & Restourant, Kadirenahalli, Bangalore",12.9155359324014,77.5616258170776,1.0,Night,1,Violent,1
Banashankari,,Murder,2019-03-24 00:00:00.000,5:30,"Gangothri Pavithra Pyaradise Building, Indian Oil Petrol Bunk, Uttarahalli Main Road, Bangalore",12.9142072407114,77.5618648043771,5.0,Morning,1,Violent,1
Banashankari,,Murder,2019-08-06 00:00:00.000,00:30,"HT Line Road, Iliyasnagar, K.S.Layout, Bangalore",12.9061712471247,77.5698458437946,0.0,Night,1,Violent,1
Banashankari,,Murder,2019-12-11 00:00:00.000,7:30,"No 522, Bike Turning Centre Garage, Umarbangh Layout, Iliyasnagar, 100 Feet Ring Road, Bangalore",12.8964515698276,77.5602433120194,7.0,Morning,0,Violent,1
Banashankari,2016.0,Murder,2016-06-23 00:00:00.000,17:00:00,"ANANTHARAMU LAND VEERABHADRANAGARA GUDDE, BSK 3RD STGE,
Bengaluru City, Karnaka, 560085",12.937792,77.537268,17.0,Evening,0,Violent,1
Banashankari,2017.0,Murder,2017-08-01 00:00:00.000,08:30:00,"NO 5, 21ST MAIN GIRINAGAR BSK 3RD STAGE B-85",12.939585,77.544317,8.0,Morning,0,Violent,1
Banashankari,2017.0,Murder,2017-04-21 00:00:00.000,09:10:00,"NO 32, SHARADA SHEVASHRAMA ASHRAMA OPP PES COLLEGE VEERABHADRANAGAR BSK 3RD STAGE B-85",12.937792,77.537268,9.0,Morning,0,Violent,1
Banashankari,2018.0,Murder,2018-07-19 00:00:00.000,13:00:00,"NO-1227, 5TH COSS, 17TH MAIN, MUNESHWAR BLOCK, Bengaluru City,
Karnaka, 560085",12.93586,77.54388,13.0,Afternoon,0,Violent,1
Banashankari,2018.0,Murder,2018-08-04 00:00:00.000,03:00:00,"TEJESH CEMENT GODOWN, NEAR GURUSIDDESWAR THEER,
AVALAHALLI, ANJANAPURA, Bengaluru City, Karnaka,",12.946026,77.544111,3.0,Night,1,Violent,1
Banashankari,2018.0,Murder,2018-09-07 00:00:00.000,15:00:00,"CYBER CAFE, NEAR RAGHAVENDRAMUTT, GIRINAGAR, Bengaluru City,
Karnaka, 560085",12.940271,77.542692,15.0,Afternoon,0,Violent,1
Banashankari,2016.0,Murder,2016-04-15 00:00:00.000,04:00:00,"kempegowda swimming pool opp,lakshimipura, k.g. nagar bangalore",12.94865677,77.56227641,4.0,Night,1,Violent,1
Banashankari,2017.0,Murder,2017-07-07 00:00:00.000,22:00:00,"NO.210 2nd cross, D.T. EXT, KG Nagar Bangalore",12.94953,77.56316,22.0,Night,1,Violent,1
Banashankari,2017.0,Murder,2017-07-14 00:00:00.000,17:00:00,"Sanyashikuntte Quras, K.G. nagar Main Road, bangalore-19",12.94953,77.56316,17.0,Evening,0,Violent,1
Banashankari,2015.0,Murder,,18:30:00,"Near maruthi transport, 4th main, nt pet, b-lore",12.96053995,77.57161726,18.0,Evening,0,Violent,1
Banashankari,2016.0,Murder,2016-05-05 00:00:00.000,17:45:00,"No 10, 1st main, 2nd cross, MV Lane, Parvhipura, B-lore",12.9560843652345,77.5756127337875,17.0,Evening,0,Violent,1
Banashankari,2016.0,Murder,,nan,"under Metro fly over, VV Puram, B-lore",12.94870298,77.5787416,,Unknown,0,Violent,1
Banashankari,2018.0,Murder,,nan,"Near Room No 404, Trishala hotel, Sajjan rao road, VV Puram, B-lore",12.948633011769,77.5758665718,,Unknown,0,Violent,1
Banashankari,2015.0,Murder,2015-03-15 00:00:00.000,22:00:00,"IN FORNT OF KAMALA NURSING HOME, HANUMANTHNAGAR, Bengaluru City",12.564056,77.333036,22.0,Night,1,Violent,1
Banashankari,2016.0,Murder,2016-12-20 00:00:00.000,23:45:00,"Near PES College Srinagar, Bengaluru, Bengaluru City, Karnaka, 560050",12.941281,77.55467,23.0,Night,1,Violent,1
Banashankari,2017.0,Murder,2017-08-27 00:00:00.000,21:30:00,"Near Udaya Ravi Studio, Kalappa Block, Srinagar, Bengaluru City, Karnaka,",12.94725,77.55428,21.0,Night,1,Violent,1
Banashankari,2018.0,Murder,2018-11-23 00:00:00.000,07:45:00,"Near Shekar Hospital, Gavipuram Extention, Hanumantha Nagar, Bengaluru City,",12.945897,77.567461,7.0,Morning,0,Violent,1
Banashankari,2019.0,Murder,2019-04-12 00:00:00.000,23:00:00,"No.54,1st Main, 1st Cross, Kalidasa Layout, Srinagar, Bengaluru City, Karnaka,",12.94885,77.55255,23.0,Night,1,Violent,1
Banashankari,2015.0,Murder,2015-04-14 00:00:00.000,nan,"No. 33, 6th Main, 5th Cross, Laksmnappa Garden, BSK 3rd Stage, Bangalore.",12.928925,77.56106,,Unknown,0,Violent,1
Banashankari,2015.0,Murder,2015-12-05 00:00:00.000,nan,"Ramakrishna Tent House, Khriguppe, BSK 3rd Stage, Bangalore-85.",12.929754,77.551246,,Unknown,0,Violent,1
Banashankari,2016.0,Murder,2016-09-04 00:00:00.000,01:00:00,"2nd Main Road, Siddartha Layout, Khriguppe, BSK 3rd Stage, Bngalore-85.",12.930313,77.554418,1.0,Night,1,Violent,1
Banashankari,2016.0,Murder,,05:00:00,"No. 17, 4th Cross, Anjaneyanagar, behind Srinivasa Choultry, Ittamadu, BSK 3rd Stage, Bangalore-85.",12.926431,77.544097,5.0,Morning,1,Violent,1
Banashankari,2016.0,Murder,2016-06-26 00:00:00.000,04:00:00,"NO. 95, 5th main, Khriguppe East, BSK 3rd Stage, Bangalore-85.",12.9289,77.554688,4.0,Night,1,Violent,1
Banashankari,2018.0,Murder,2018-10-03 00:00:00.000,11:30:00,"infront of BBMP Office Both Room Building, C.K. Achuktu, BSK 3rd Stage, Bangalore-85.",12.930848,77.562656,11.0,Morning,0,Violent,1
Banashankari,2018.0,Murder,2018-04-23 00:00:00.000,06:15:00,"Anjaneya Temple Road, Balajinagar, Ittamadu, BSK 3rd Stage, Bangalore-85.",12.920708,77.545062,6.0,Morning,0,Violent,1
Banashankari,2018.0,Murder,2018-09-30 00:00:00.000,01:00:00,"No. 14, 14th Cross, T.G. Layout, Ittamadu, BSK 3rd Stage, Bangalore-85.",12.921084,77.540512,1.0,Night,1,Violent,1
